#File display: /Volumes/My Book Thunderbolt Duo/IPTS/IPTS-16259/Day_4_CO-4_Uptake/20160922_CO-4_Uptake_0000_0061.tiff
#ROI selected (y0,x0,height,width):(0,1234,2159,34)
#Rebin in y direction: 3
#Time stamp: 2016-09-22 18:18:26
#Delta time (s): 0.3303558826446533
#
#pixel_index, counts
0, 100.12791790699222
1, 99.87647433662406
2, 99.9944393038796
3, 100.97264005721483
4, 103.40578168597607
5, 105.05557874032388
6, 105.06296776933638
7, 102.69210699427947
8, 103.3361880412371
9, 106.48359975392049
10, 105.93339012927206
11, 106.02816055657226
12, 104.26548364899207
13, 104.01714425373491
14, 102.45980526434113
15, 104.13385237027993
16, 103.98373747794935
17, 102.57841030871748
18, 100.766965010323
19, 102.05796727742648
20, 102.47980330189753
21, 101.44076708366396
22, 103.47377244542008
23, 101.50904425403806
24, 104.15318240034435
25, 104.64019867039474
26, 103.91392492880428
27, 102.9128153341139
28, 100.66323595765293
29, 103.90531997515811
30, 103.35932955069781
31, 103.09084185079904
32, 101.19421306746509
33, 100.65528022436433
34, 100.029561272173
35, 100.47345228000361
36, 101.50985688463919
37, 105.60215778366067
38, 105.52460180136694
39, 107.11437427870473
40, 105.18462101017485
41, 102.5599918927281
42, 100.03403901915297
43, 98.75176007713814
44, 98.97496190815903
45, 102.08928584054439
46, 103.14665098828519
47, 101.46314325044375
48, 99.06184666107409
49, 100.01356577123556
50, 102.64626115317009
51, 105.41175151895791
52, 105.96855196571713
53, 102.5423799881055
54, 100.15226005605948
55, 99.30878685245274
56, 100.42648618813371
57, 99.67410482060635
58, 99.95512640885288
59, 101.38804502893461
60, 103.01194096220635
61, 99.16872686893979
62, 100.53509346700758
63, 100.11007625536999
64, 100.76673681860589
65, 101.57508863007033
66, 104.08205035636695
67, 104.11155605591578
68, 101.2761223151141
69, 99.87394854554114
70, 99.65224660445755
71, 99.6635256840471
72, 100.41863781196139
73, 99.74496241802517
74, 98.06424940378594
75, 99.41660503953116
76, 102.61499558003351
77, 103.4816231180472
78, 102.28035330110903
79, 101.0360845567797
80, 98.562595516284
81, 99.66393384187637
82, 101.34930598651405
83, 101.83312610729888
84, 101.33988095535278
85, 98.50624859947115
86, 98.95668700732536
87, 100.29982586972284
88, 102.24032537949697
89, 102.18540452233003
90, 103.33302672587172
91, 103.9822998646502
92, 104.97722946329526
93, 109.05238375380192
94, 111.52782191042914
95, 110.06582639857905
96, 105.482356522058
97, 103.00983204935167
98, 99.95454901223934
99, 98.44242935776498
100, 101.07676489623063
101, 105.83969621288911
102, 107.16807984751354
103, 108.40486052548081
104, 106.30821426457992
105, 105.13548368739268
106, 104.2483110696917
107, 103.52926514590294
108, 101.04565700665324
109, 99.4396714660462
110, 100.23462086190472
111, 103.18983438289408
112, 103.53209189018213
113, 99.54471378342848
114, 98.49747575296354
115, 98.82276026180807
116, 99.1525914708406
117, 100.51191171445706
118, 103.54780535158761
119, 100.659421200432
120, 100.4639714998907
121, 101.21537658767073
122, 98.77913992076464
123, 97.64088589972228
124, 100.61022550819817
125, 100.99082591675234
126, 101.97358695807225
127, 101.28996981697722
128, 99.9693607100564
129, 99.30163755271266
130, 98.76397120322841
131, 101.62698070128103
132, 102.71408581097465
133, 102.98241713779494
134, 103.93545568880634
135, 104.44267113559704
136, 103.88934657556274
137, 104.7833502642685
138, 105.17107639285712
139, 102.97077718299961
140, 102.64522062054453
141, 100.21745555204924
142, 99.25057526722384
143, 100.55332307138698
144, 101.30066309175895
145, 102.25449424217584
146, 100.6181316578728
147, 102.67397087599949
148, 103.08134972904602
149, 101.85658357730362
150, 99.45649795711047
151, 100.17551151323113
152, 101.0142803272727
153, 104.26324513314742
154, 108.01196248845223
155, 105.35245903848889
156, 103.11825080706052
157, 102.68467925991693
158, 100.81486365927748
159, 101.84354089645774
160, 106.83872774663689
161, 111.55252385016071
162, 117.02573918660617
163, 115.11657461945182
164, 108.42568477289555
165, 106.5291249680438
166, 107.30725554409348
167, 107.07616560072842
168, 106.31707991641922
169, 101.2795013706953
170, 99.87529102319593
171, 99.07072230699445
172, 101.05800185271436
173, 102.13787861997653
174, 103.77784653720548
175, 104.56580838884568
176, 105.17300159773143
177, 104.10249978013582
178, 99.84945088153432
179, 96.56488112403375
180, 99.20274339932166
181, 100.35062476898398
182, 101.7394524152415
183, 102.06230254741956
184, 104.54543675514353
185, 103.97339754531355
186, 100.64958960181323
187, 100.101516182789
188, 99.92599836083401
189, 98.7634680239467
190, 101.2551864731511
191, 102.38648362940219
192, 105.17809725519304
193, 106.6499737326198
194, 107.95187170057321
195, 106.14212779181406
196, 100.31869976980175
197, 99.04401350310096
198, 98.01656763656554
199, 101.13513199944651
200, 101.09370463200766
201, 102.25580113571664
202, 100.96465304099037
203, 99.0410574948773
204, 100.14208597000857
205, 99.35210798665241
206, 98.59651341206236
207, 102.61368055265213
208, 104.15447280564813
209, 104.90333050592147
210, 105.94034755573557
211, 105.45193479684679
212, 105.79704492855899
213, 104.01334028337541
214, 100.17418943635445
215, 98.1059020051386
216, 99.93222172821697
217, 105.60587358509684
218, 108.44606904857159
219, 109.49500613023403
220, 107.04799984623932
221, 106.13213984005515
222, 104.52199506737631
223, 101.65840257881035
224, 99.72349940115396
225, 98.69013853055435
226, 102.45414426733753
227, 103.40431062577744
228, 106.24967319321698
229, 106.85232440026685
230, 107.39832715448158
231, 105.83422506943218
232, 101.55973492347319
233, 97.67841327609129
234, 98.86175308276118
235, 100.12594684072772
236, 101.59888065240645
237, 104.81940430031275
238, 108.21277064732021
